duration,station_A_id,station_A_name,station_B_id,station_B_name,bike_id,user_type,user_birth_year,user_gender
13 minutes,22,Howard St at Beale St,345,Hubbell St at 16th St,3616,1,1991,Male
10 minutes,81,Berry St at 4th St,15,San Francisco Ferry Building (Harry Bridges Plaza),3108,1,1992,Male
1 minutes,3,Powell St BART Station (Market St at 4th St),3,Powell St BART Station (Market St at 4th St),4319,2,1991,Male
8 minutes,30,San Francisco Caltrain (Townsend St at 4th St),5,Powell St BART Station (Market St at 5th St),4968,2,1993,Female
3 minutes,22,Howard St at Beale St,27,Beale St at Harrison St,1718,2,1986,Male
8 minutes,22,Howard St at Beale St,4,Cyril Magnin St at Ellis St,1475,2,1994,Other
8 minutes,21,Montgomery St BART Station (Market St at 2nd St),58,Market St at 10th St,5253,1,1988,Other
6 minutes,30,San Francisco Caltrain (Townsend St at 4th St),27,Beale St at Harrison St,5114,3,1993,Male
11 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),90,Townsend St at 7th St,3432,2,1988,Male
12 minutes,5,Powell St BART Station (Market St at 5th St),53,Grove St at Divisadero,4778,1,1994,Male
9 minutes,81,Berry St at 4th St,3,Powell St BART Station (Market St at 4th St),2738,1,1993,Female
12 minutes,81,Berry St at 4th St,130,22nd St Caltrain Station,1565,3,1992,Female
4 minutes,21,Montgomery St BART Station (Market St at 2nd St),11,Davis St at Jackson St,5307,3,1987,Female
16 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),55,Webster St at Grove St,4953,1,1992,Female
14 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),74,Laguna St at Hayes St,4347,3,1988,Male
8 minutes,22,Howard St at Beale St,323,Broadway at Kearny,5359,3,1985,Male
18 minutes,5,Powell St BART Station (Market St at 5th St),109,17th St at Valencia St,4320,1,1980,Male
11 minutes,22,Howard St at Beale St,104,4th St at 16th St,2473,3,1982,Male
6 minutes,22,Howard St at Beale St,47,4th St at Harrison St,3225,1,1986,Male
6 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),100,Bryant St at 15th St,4658,2,1989,Male
19 minutes,5,Powell St BART Station (Market St at 5th St),144,Precita Park,4553,1,1994,Female
19 minutes,22,Howard St at Beale St,116,Mississippi St at 17th St,2564,2,1970,Male
9 minutes,30,San Francisco Caltrain (Townsend St at 4th St),284,Yerba Buena Center for the Arts (Howard St at 3rd St),4982,3,1985,Female
9 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),26,1st St at Folsom St,5110,1,1948,Male
2 minutes,81,Berry St at 4th St,93,4th St at Mission Bay Blvd S,5549,2,1993,Male
14 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),93,4th St at Mission Bay Blvd S,411,1,1989,Male
18 minutes,22,Howard St at Beale St,115,Jackson Playground,5407,3,1986,Male
15 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),87,Folsom St at 13th St,5282,2,1990,Male
10 minutes,22,Howard St at Beale St,66,3rd St at Townsend St,5438,3,1990,Female
5 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),62,Victoria Manalo Draves Park,5381,2,1990,Female
6 minutes,3,Powell St BART Station (Market St at 4th St),42,San Francisco City Hall (Polk St at Grove St),2550,2,1979,Male
5 minutes,16,Steuart St at Market St,27,Beale St at Harrison St,643,1,1981,Male
12 minutes,21,Montgomery St BART Station (Market St at 2nd St),76,McCoppin St at Valencia St,4609,2,1993,Male
17 minutes,5,Powell St BART Station (Market St at 5th St),142,Guerrero Park,4928,2,1993,Male
8 minutes,21,Montgomery St BART Station (Market St at 2nd St),323,Broadway at Kearny,2113,2,1987,Male
8 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),78,Folsom St at 9th St,5550,3,1994,Male
9 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),81,Berry St at 4th St,4969,2,1975,Male
4 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),90,Townsend St at 7th St,3109,1,1982,Male
22 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),97,14th St at Mission St,5423,3,1993,Male
23 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),97,14th St at Mission St,5226,2,1981,Male
23 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),97,14th St at Mission St,4820,2,1993,Male
5 minutes,30,San Francisco Caltrain (Townsend St at 4th St),350,8th St at Brannan St,1396,2,1997,Male
17 minutes,30,San Francisco Caltrain (Townsend St at 4th St),371,Lombard St at Columbus Ave,5051,2,1984,Male
14 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),116,Mississippi St at 17th St,5463,3,1988,Female
6 minutes,21,Montgomery St BART Station (Market St at 2nd St),50,2nd St at Townsend St,4716,2,1984,Male
6 minutes,81,Berry St at 4th St,116,Mississippi St at 17th St,4768,2,1988,Male
5 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),5,Powell St BART Station (Market St at 5th St),4344,2,1984,Female
15 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),76,McCoppin St at Valencia St,4601,2,1985,Female
13 minutes,81,Berry St at 4th St,6,The Embarcadero at Sansome St,4613,2,1981,Male
3 minutes,22,Howard St at Beale St,284,Yerba Buena Center for the Arts (Howard St at 3rd St),1514,1,1994,Male
8 minutes,30,San Francisco Caltrain (Townsend St at 4th St),60,8th St at Ringold St,2174,2,1979,Male
14 minutes,21,Montgomery St BART Station (Market St at 2nd St),30,San Francisco Caltrain (Townsend St at 4th St),967,1,1987,Male
3 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),91,Berry St at King St,4780,2,1982,Male
3 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),350,8th St at Brannan St,4426,2,1988,Male
2 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),79,7th St at Brannan St,5458,2,1975,Male
14 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),109,17th St at Valencia St,5029,1,1988,Female
10 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),30,San Francisco Caltrain (Townsend St at 4th St),2960,2,1991,Female
7 minutes,3,Powell St BART Station (Market St at 4th St),19,Post St at Kearny St,5570,2,1995,Male
11 minutes,21,Montgomery St BART Station (Market St at 2nd St),364,China Basin St at 3rd St,2481,2,1989,Male
19 minutes,21,Montgomery St BART Station (Market St at 2nd St),355,23rd St at Tennessee St,2238,3,1984,Male
5 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),90,Townsend St at 7th St,5561,3,1988,Male
9 minutes,81,Berry St at 4th St,15,San Francisco Ferry Building (Harry Bridges Plaza),4969,3,1978,Male
7 minutes,81,Berry St at 4th St,27,Beale St at Harrison St,4574,2,1992,Male
26 minutes,22,Howard St at Beale St,120,Mission Dolores Park,3053,2,1987,Female
7 minutes,22,Howard St at Beale St,284,Yerba Buena Center for the Arts (Howard St at 3rd St),4655,2,1986,Female
4 minutes,3,Powell St BART Station (Market St at 4th St),5,Powell St BART Station (Market St at 5th St),1126,3,1994,Female
7 minutes,3,Powell St BART Station (Market St at 4th St),14,Clay St at Battery St,160,1,1979,Male
8 minutes,30,San Francisco Caltrain (Townsend St at 4th St),61,Howard St at 8th St,491,2,1991,Male
14 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),10,Washington St at Kearny St,5007,2,1984,Male
9 minutes,3,Powell St BART Station (Market St at 4th St),350,8th St at Brannan St,4390,2,1986,Male
9 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),66,3rd St at Townsend St,5230,2,1984,Male
10 minutes,21,Montgomery St BART Station (Market St at 2nd St),30,San Francisco Caltrain (Townsend St at 4th St),3681,2,1979,Male
6 minutes,16,Steuart St at Market St,323,Broadway at Kearny,5229,3,1976,Other
6 minutes,81,Berry St at 4th St,23,The Embarcadero at Steuart St,5549,2,1992,Male
9 minutes,5,Powell St BART Station (Market St at 5th St),78,Folsom St at 9th St,5538,2,1989,Male
26 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),371,Lombard St at Columbus Ave,5396,2,1989,Male
5 minutes,5,Powell St BART Station (Market St at 5th St),21,Montgomery St BART Station (Market St at 2nd St),4716,1,1999,Male
4 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),321,5th St at Folsom,4934,2,1993,Female
3 minutes,5,Powell St BART Station (Market St at 5th St),321,5th St at Folsom,3208,3,1984,Male
13 minutes,3,Powell St BART Station (Market St at 4th St),112,Harrison St at 17th St,5228,2,1989,Male
19 minutes,81,Berry St at 4th St,131,22nd St at Dolores St,4611,3,1982,Male
9 minutes,16,Steuart St at Market St,324,Union Square (Powell St at Post St),2147,2,1990,Other
15 minutes,30,San Francisco Caltrain (Townsend St at 4th St),10,Washington St at Kearny St,4980,2,1992,Female
20 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),39,Scott St at Golden Gate Ave,5566,3,1992,Male
11 minutes,3,Powell St BART Station (Market St at 4th St),6,The Embarcadero at Sansome St,5114,3,1982,Male
12 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),93,4th St at Mission Bay Blvd S,4746,3,1983,Male
5 minutes,16,Steuart St at Market St,20,Mechanics Monument Plaza (Market St at Bush St),1052,1,1960,Male
10 minutes,81,Berry St at 4th St,87,Folsom St at 13th St,5369,2,1984,Female
15 minutes,3,Powell St BART Station (Market St at 4th St),95,Sanchez St at 15th St,5479,1,1985,Male
10 minutes,21,Montgomery St BART Station (Market St at 2nd St),58,Market St at 10th St,1630,2,1995,Female
13 minutes,22,Howard St at Beale St,93,4th St at Mission Bay Blvd S,300,2,1987,Male
26 minutes,30,San Francisco Caltrain (Townsend St at 4th St),377,Fell St at Stanyan St,5267,2,1986,Male
12 minutes,3,Powell St BART Station (Market St at 4th St),365,Turk St at Fillmore St,5496,3,1980,Male
8 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),81,Berry St at 4th St,4613,3,1991,Male
6 minutes,3,Powell St BART Station (Market St at 4th St),81,Berry St at 4th St,5549,1,1981,Male
14 minutes,16,Steuart St at Market St,73,Pierce St at Haight St,4453,3,1988,Male
15 minutes,5,Powell St BART Station (Market St at 5th St),375,Grove St at Masonic Ave,4351,1,1988,Female
10 minutes,21,Montgomery St BART Station (Market St at 2nd St),8,The Embarcadero at Vallejo St,1544,3,1991,Female
7 minutes,81,Berry St at 4th St,350,8th St at Brannan St,5475,2,1995,Male
6 minutes,5,Powell St BART Station (Market St at 5th St),58,Market St at 10th St,2436,2,1987,Female
15 minutes,3,Powell St BART Station (Market St at 4th St),336,Potrero Ave and Mariposa St,4717,1,1983,Male
21 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),70,Central Ave at Fell St,4772,1,1992,Male
8 minutes,81,Berry St at 4th St,16,Steuart St at Market St,5229,2,1980,Male
10 minutes,21,Montgomery St BART Station (Market St at 2nd St),58,Market St at 10th St,1563,2,1983,Male
